"fixture_id","h2h_last","h2h_matches","h2h_home_wins","h2h_draws","h2h_away_wins","h2h_home_goals_for","h2h_home_goals_against","h2h_home_goal_diff","updated_at"
"1378011",10,2,1,0,1,"1","1.5","-0.5","2025-12-14 17:15:02.191196-08"
"1378014",10,3,1,2,0,"1.3333334","0.6666667","0.6666667","2025-12-14 17:15:14.574804-08"
"1378015",10,2,0,0,2,"1","2","-1","2025-12-14 17:16:25.350793-08"
"1378016",10,10,5,1,4,"1.2","1.2","0","2025-12-14 17:15:17.868722-08"
"1378017",10,10,0,4,6,"0.9","2.4","-1.5","2025-12-14 17:15:19.055341-08"
"1378018",10,10,8,1,1,"2.5","0.4","2.1","2025-12-14 17:16:23.92612-08"
"1378019",10,10,4,5,1,"1.3","0.9","0.4","2025-12-14 17:15:12.576931-08"
"1378020",10,3,3,0,0,"3.6666667","0.6666667","3","2025-12-14 17:15:10.668376-08"
"1378021",10,10,6,2,2,"1.9","0.7","1.2","2025-12-14 17:16:21.35285-08"
"1378022",10,10,2,4,4,"1.3","1.5","-0.2","2025-12-14 17:15:15.513969-08"
"1378023",10,10,3,2,5,"0.9","1.3","-0.4","2025-12-14 17:16:24.390428-08"
"1378024",10,10,0,2,8,"0.7","2.3","-1.6","2025-12-14 17:15:29.529661-08"
"1378025",10,10,3,3,4,"1.9","1.7","0.2","2025-12-14 17:15:29.046454-08"
"1378026",10,3,0,1,2,"1","3","-2","2025-12-14 17:15:27.647472-08"
"1378027",10,5,1,2,2,"0.6","1.4","-0.8","2025-12-14 17:15:22.484802-08"
"1378028",10,10,9,1,0,"2.1","0.8","1.3","2025-12-14 17:15:27.17086-08"
"1378029",10,10,2,7,1,"1.1","1","0.1","2025-12-14 17:15:21.552849-08"
"1378030",10,0,0,0,0,"0","0","0","2025-12-14 17:15:26.703521-08"
"1378031",10,10,7,2,1,"1.6","0.8","0.8","2025-12-14 17:15:29.994763-08"
"1378032",10,10,3,3,4,"1.4","1.5","-0.1","2025-12-14 17:15:22.943409-08"
"1378033",10,10,2,4,4,"1.1","1.3","-0.2","2025-12-14 17:15:25.760211-08"
"1378034",10,10,6,2,2,"1.7","1.1","0.6","2025-12-14 17:15:44.075651-08"
